"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C8","2","22uf 10V","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",""
"2","C2","1","47uf 10V","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",""
"3","C3, C4, C5","3","0.1uf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C6, C7","2","18pf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","D1","1","READ","Tersteeg:1204 Side Emitting LED",""
"6","D2","1","WRITE","Tersteeg:1204 Side Emitting LED",""
"7","J1","1","C64-CassettePort","Tersteeg:JAMMA_Dark_Blue_2x06_P3.96mm_Horizontal_44.8mm_Wide",""
"8","J2","1","SD_Card_Push_Pull","TE SD Card 2041021-3:2041021-3_2",""
"9","J3","1","ICSP","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"10","OK1","1","4N25SM","4N25SM:DIL6-SMD",""
"11","Q1, Q2","2","2N2222A","Package_TO_SOT_SMD:SOT-23",""
"12","R1, R2","2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","R3, R4, R5","3","330R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","R6, R7, R8, R9, R10, R11","6","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","U2","1","4050","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"16","U3","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"17","U4","1","ATmega328P-A","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"18","Y1","1","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",""
